distribution,observe_cost,test_type,level,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,positive_net_rate,mean_true_E_observe_net,mean_true_E_positive,mean_true_E_nonpositive,estimated_E_mean,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,non_global_rate,pearson_corr_estimatedE_trueE,observe_rate,policy_net_if_available,delta_vs_always_observe_if_available
counterfactual_cov0.25,0.01,A,level1_cue_marginal,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.172000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.736460,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,A,level2_knn_jaccard_k3,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.161782,0.666667,0.333333,0.000000,0.000000,1.000000,-0.345632,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,A,level3_candidate_set_tau0.5,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.173333,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,B,exact_signature_oracle_belief,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.172222,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,B,level1_cue_marginal,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.174000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.552345,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,B,level2_knn_jaccard_k3,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.157213,0.666667,0.333333,0.000000,0.000000,1.000000,-0.418410,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,B,level3_candidate_set_tau0.5,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.170000,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,C,exact_signature_oracle_belief,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.165625,0.666667,0.333333,0.000000,0.000000,1.000000,0.874322,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,C,level1_cue_marginal,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.170653,0.666667,0.333333,0.000000,0.000000,1.000000,0.362522,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,C,level2_knn_jaccard_k3,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.172113,0.666667,0.333333,0.000000,0.000000,1.000000,0.433136,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.01,C,level3_candidate_set_tau0.5,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.174167,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.440000,0.000000
counterfactual_cov0.25,0.03,A,exact_signature_oracle_belief,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.153333,0.666667,0.333333,0.000000,1.000000,0.000000,0.000000,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,A,level1_cue_marginal,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.152000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.736460,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,A,level2_knn_jaccard_k3,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.141782,0.666667,0.333333,0.000000,0.000000,1.000000,-0.345632,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,A,level3_candidate_set_tau0.5,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.153333,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,B,exact_signature_oracle_belief,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.152222,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,B,level1_cue_marginal,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.154000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.552345,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,B,level2_knn_jaccard_k3,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.137213,0.666667,0.333333,0.000000,0.000000,1.000000,-0.418410,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,B,level3_candidate_set_tau0.5,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.150000,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,C,exact_signature_oracle_belief,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.145625,0.666667,0.333333,0.000000,0.000000,1.000000,0.874322,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,C,level1_cue_marginal,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.150653,0.666667,0.333333,0.000000,0.000000,1.000000,0.362522,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,C,level2_knn_jaccard_k3,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.152113,0.666667,0.333333,0.000000,0.000000,1.000000,0.433136,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.03,C,level3_candidate_set_tau0.5,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.154167,0.666667,0.333333,0.000000,0.000000,1.000000,-0.000000,1.000000,0.420000,0.000000
counterfactual_cov0.25,0.05,A,exact_signature_oracle_belief,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.133333,0.666667,0.333333,0.000000,1.000000,0.000000,0.000000,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,A,level1_cue_marginal,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.132000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.736460,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,A,level2_knn_jaccard_k3,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.121782,0.666667,0.333333,0.000000,0.000000,1.000000,-0.345632,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,A,level3_candidate_set_tau0.5,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.133333,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,B,exact_signature_oracle_belief,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.132222,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,B,level1_cue_marginal,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.134000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.552345,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,B,level2_knn_jaccard_k3,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.117213,0.666667,0.333333,0.000000,0.000000,1.000000,-0.418410,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,B,level3_candidate_set_tau0.5,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.130000,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,C,exact_signature_oracle_belief,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.125625,0.666667,0.333333,0.000000,0.000000,1.000000,0.874322,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,C,level1_cue_marginal,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.130653,0.666667,0.333333,0.000000,0.000000,1.000000,0.362522,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,C,level2_knn_jaccard_k3,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.132113,0.666667,0.333333,0.000000,0.000000,1.000000,0.433136,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.05,C,level3_candidate_set_tau0.5,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.134167,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,1.000000,0.400000,0.000000
counterfactual_cov0.25,0.07,A,exact_signature_oracle_belief,0.250000,0.380000,0.403333,0.023333,0.666667,0.080000,0.230000,-0.070000,0.113333,0.666667,0.333333,0.000000,1.000000,0.000000,0.000000,1.000000,0.380000,0.000000
counterfactual_cov0.25,0.07,A,level1_cue_marginal,0.250000,0.380000,0.403333,0.023333,0.666667,0.080000,0.230000,-0.070000,0.112000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.736460,1.000000,0.380000,0.000000
