mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.07,A,level2,0.6955275,0.6200275000000001,0.6955275,0.791142533125,0.0,0.0754999999999999,0.09561503312500008,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.07,A,level3,0.6955275,0.6200275000000001,0.6955275,0.791142533125,0.0,0.0754999999999999,0.09561503312500008,1.0,0.552,0.448,0.0,0.552,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.07,B,level1,0.6988075,0.6297075,0.6988075,0.796554613125,0.0,0.06910000000000005,0.09774711312499995,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.07,B,level2,0.6988075,0.6297075,0.6988075,0.796554613125,0.0,0.06910000000000005,0.09774711312499995,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,null,101,fixed_split_3985,0.07,B,level3,0.6988075,0.6297075,0.6988075,0.796554613125,0.0,0.06910000000000005,0.09774711312499995,1.0,0.555625,0.444375,0.0,0.555625,0.0,0.553,0.555375,1.0,0.378671875
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.03,A,level1,0.7151075,0.7273075,0.7151075,0.8331037749999999,0.0,-0.012199999999999989,0.11799627499999987,1.0,0.47375,0.52625,0.0,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.03,A,level2,0.7494075,0.7273075,0.7151075,0.8331037749999999,0.0343,0.02210000000000001,0.08369627499999988,0.5,0.40625,0.31,0.28375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.03,A,level3,0.7151075,0.7273075,0.7151075,0.8331037749999999,0.0,-0.012199999999999989,0.11799627499999987,1.0,0.47375,0.52625,0.0,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.03,B,level1,0.6922575,0.7316575,0.6922575,0.8337178393749999,0.0,-0.03939999999999999,0.1414603393749999,1.0,0.451125,0.548875,0.0,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.03,B,level2,0.7316575,0.7316575,0.6922575,0.8337178393749999,0.03939999999999999,0.0,0.10206033937499992,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.03,B,level3,0.7316575,0.7316575,0.6922575,0.8337178393749999,0.03939999999999999,0.0,0.10206033937499992,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.05,A,level1,0.7273075,0.7273075,0.6951075,0.823628775,0.032200000000000006,0.0,0.09632127499999998,0.0,0.52625,0.0,0.47375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.05,A,level2,0.7273075,0.7273075,0.6951075,0.823628775,0.032200000000000006,0.0,0.09632127499999998,0.0,0.52625,0.0,0.47375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.05,A,level3,0.7273075,0.7273075,0.6951075,0.823628775,0.032200000000000006,0.0,0.09632127499999998,0.0,0.52625,0.0,0.47375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.05,B,level1,0.7316575,0.7316575,0.6722575,0.8246953393750001,0.05940000000000001,0.0,0.0930378393750001,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.05,B,level2,0.7316575,0.7316575,0.6722575,0.8246953393750001,0.05940000000000001,0.0,0.0930378393750001,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.05,B,level3,0.7316575,0.7316575,0.6722575,0.8246953393750001,0.05940000000000001,0.0,0.0930378393750001,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.07,A,level1,0.7273075,0.7273075,0.6751075,0.814153775,0.052200000000000024,0.0,0.08684627499999997,0.0,0.52625,0.0,0.47375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
