seed,variant,bridge_mode,n_related_observed,structured_score,bridge_required_score,null_control_score,boundary_score,delta_vs_similarity_only,delta_vs_always_observe,gap_to_oracle,signal_strategy_count,learned_strategy_cluster_count,average_cluster_size,cluster_purity_audit,bridge_merge_success_rate,false_merge_rate,false_split_rate,overgeneralization_rate_before_update,overgeneralization_rate_after_update,boundary_failure_count,boundary_exclusion_count,confidence_drop_after_failure,average_strategy_confidence,support_case_count,failure_case_count,confidence_vs_success_correlation,null_false_discovery_rate,no_hidden_fields_in_learner_input
207,structured,no_bridge,2,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,98,5,21.2,1.0,0.0,0.0,0.5,0.25,0.0,2,4,0.3,0.657938144329897,106,2,0.9060045093675699,0.25,True
207,null_control,no_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,with_bridge,2,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,102,7,15.714285714285714,1.0,1.0,0.0,0.5,1.0,0.0,8,8,0.4097222222222222,0.5862256586483391,110,8,0.7258571753913843,0.5,True
207,null_control,with_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,no_bridge,4,0.64,0.5,0.64,0.82,0.10499999999999998,-0.14,0.14,100,5,21.6,1.0,0.0,0.0,0.25,0.5,0.0,4,4,0.3333333333333333,0.6512714776632302,108,4,0.9661980352014837,0.25,True
207,null_control,no_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,with_bridge,4,0.78,0.78,0.64,0.82,0.245,0.0,0.0,104,5,22.4,1.0,1.0,0.0,0.125,1.0,0.0,8,10,0.43333333333333335,0.6612714776632302,112,8,0.9630850884305939,0.5,True
207,null_control,with_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,no_bridge,8,0.64,0.5,0.64,0.82,0.08750000000000002,-0.14,0.14,104,5,22.4,1.0,0.0,0.0,0.125,0.5,0.0,4,5,0.39560439560439553,0.7435791699709225,112,4,0.839372472427323,0.25,True
207,null_control,no_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,with_bridge,8,0.78,0.78,0.64,0.82,0.22750000000000004,0.0,0.0,108,5,23.2,1.0,1.0,0.0,0.08333333333333333,1.0,0.0,8,11,0.4743083003952569,0.7382279994023607,116,8,0.7697931469229322,0.25,True
207,null_control,with_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,no_bridge,16,0.64,0.5,0.64,0.82,0.06999999999999995,-0.14,0.14,112,5,24.0,1.0,0.0,0.0,0.0625,0.5,0.0,4,4,0.2666666666666667,0.7846048109965637,120,4,0.8118057961219327,0.25,True
207,null_control,no_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,with_bridge,16,0.78,0.78,0.64,0.82,0.20999999999999996,0.0,0.0,116,5,24.8,1.0,1.0,0.0,0.05,1.0,0.0,8,11,0.3667232597623089,0.7674005099212948,124,8,0.8273021876644707,0.25,True
207,null_control,with_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,no_bridge,0,0.5,0.5,0.64,0.82,0.0,-0.28,0.28,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,null_control,no_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,with_bridge,0,0.78,0.78,0.64,0.82,0.28,0.0,0.0,100,5,21.6,1.0,1.0,0.0,0.25,1.0,0.0,8,10,0.5625,0.6554381443298969,108,8,0.9035598588417257,0.5,True
404,null_control,with_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,no_bridge,1,0.5875,0.5,0.64,0.82,0.06999999999999995,-0.1925,0.1925,97,4,26.25,1.0,0.0,0.0,0.0,0.0,0.0,2,4,0.3,0.6974226804123712,105,2,0.9655133067700931,0.125,True
404,null_control,no_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,with_bridge,1,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,101,6,18.166666666666668,1.0,1.0,0.0,0.4,1.0,0.0,8,8,0.4444444444444444,0.5890225276823214,109,8,0.9329288421365922,0.5,True
404,null_control,with_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,no_bridge,2,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,98,5,21.2,1.0,0.0,0.0,0.5,0.25,0.0,2,4,0.3,0.657938144329897,106,2,0.9060045093675699,0.25,True
404,null_control,no_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,with_bridge,2,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,102,7,15.714285714285714,1.0,1.0,0.0,0.5,1.0,0.0,8,8,0.4097222222222222,0.5862256586483391,110,8,0.7258571753913843,0.5,True
404,null_control,with_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,no_bridge,4,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,100,5,21.6,1.0,0.0,0.0,0.25,0.5,0.0,2,4,0.3333333333333333,0.7179381443298969,108,2,0.8158403342875477,0.25,True
404,null_control,no_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,with_bridge,4,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,104,6,18.666666666666668,1.0,1.0,0.0,0.25,1.0,0.0,8,9,0.39583333333333337,0.6330040091638031,112,8,0.5503085165327604,0.5,True
404,null_control,with_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,no_bridge,8,0.64,0.5,0.64,0.82,0.10499999999999998,-0.14,0.14,104,5,22.4,1.0,0.0,0.0,0.125,0.5,0.0,4,5,0.29960317460317465,0.7147635411552937,112,4,0.9152098544761292,0.25,True
404,null_control,no_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,with_bridge,8,0.78,0.78,0.64,0.82,0.245,0.0,0.0,108,5,23.2,1.0,1.0,0.0,0.08333333333333333,1.0,0.0,8,12,0.39595959595959596,0.6973320837238364,116,8,0.9287903203009075,0.375,True
404,null_control,with_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,no_bridge,16,0.64,0.5,0.64,0.82,0.06999999999999995,-0.14,0.14,112,5,24.0,1.0,0.0,0.0,0.0625,0.5,0.0,4,5,0.2785714285714286,0.797938144329897,120,4,0.7242092794238827,0.25,True
404,null_control,no_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
404,structured,with_bridge,16,0.78,0.78,0.64,0.82,0.20999999999999996,0.0,0.0,116,5,24.8,1.0,1.0,0.0,0.05,1.0,0.0,8,11,0.37777777777777777,0.7812714776632304,124,8,0.7064109967469028,0.25,True
404,null_control,with_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
