distribution,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,pos_obs_rate,nonpos_obs_rate,harmful_obs_rate,n_test_objects,n_test_signatures,n_non_global_estimates,n_fallbacks,fallback_rate,mean_estimated_E,min_estimated_E,max_estimated_E,strict_beats_always_observe,material_beats_always_observe_005,material_beats_always_observe_010
counterfactual_cov0.50,0.05,B,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.130000,0.123333,0.136667,False,False,False
counterfactual_cov0.50,0.05,C,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.166875,0.050000,0.250000,False,False,False
counterfactual_cov0.50,0.05,C,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.148944,0.130000,0.170000,False,False,False
counterfactual_cov0.50,0.05,C,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.149081,0.120270,0.205319,False,False,False
counterfactual_cov0.50,0.05,C,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.139167,0.133333,0.150000,False,False,False
counterfactual_cov0.50,0.07,A,exact_signature_oracle_belief,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.103333,0.098889,0.107778,False,False,False
counterfactual_cov0.50,0.07,A,level1_cue_marginal,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.112000,0.096667,0.135333,False,False,False
counterfactual_cov0.50,0.07,A,level2_knn_jaccard_k3,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.128527,0.116667,0.140000,False,False,False
counterfactual_cov0.50,0.07,A,level3_candidate_set_tau0.5,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.110000,0.103333,0.116667,False,False,False
counterfactual_cov0.50,0.07,B,exact_signature_oracle_belief,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.103333,0.098889,0.107778,False,False,False
counterfactual_cov0.50,0.07,B,level1_cue_marginal,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.104000,0.096667,0.116667,False,False,False
counterfactual_cov0.50,0.07,B,level2_knn_jaccard_k3,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.131580,0.125172,0.140000,False,False,False
counterfactual_cov0.50,0.07,B,level3_candidate_set_tau0.5,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.110000,0.103333,0.116667,False,False,False
counterfactual_cov0.50,0.07,C,exact_signature_oracle_belief,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.146875,0.030000,0.230000,False,False,False
counterfactual_cov0.50,0.07,C,level1_cue_marginal,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.128944,0.110000,0.150000,False,False,False
counterfactual_cov0.50,0.07,C,level2_knn_jaccard_k3,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.129081,0.100270,0.185319,False,False,False
counterfactual_cov0.50,0.07,C,level3_candidate_set_tau0.5,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.119167,0.113333,0.130000,False,False,False
counterfactual_cov1.00,0.01,A,exact_signature_oracle_belief,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,2,0,2,1.000000,-0.010000,-0.010000,-0.010000,False,False,False
