variant_id,family,test_type,observe_cost,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,always_observe_minus_always_try,positive_net_rate,mean_true_E_positive,mean_true_E_nonpositive,level1_policy_net,level2_policy_net,level3_policy_net,best_level,best_level_net,best_level_delta_vs_always_observe,level1_sign_correct_rate,level2_sign_correct_rate,level3_sign_correct_rate,level1_corr,level2_corr,level3_corr,fallback_rate_best_level,passes_primary_criteria,rejection_reason
A1_current_cov0.25,A,B,0.10,0.230000,0.310000,0.337333,0.027333,0.080000,0.933333,0.115795,-0.430000,0.310000,0.310000,0.310000,level1,0.310000,0.000000,0.933333,0.933333,0.933333,-0.337372,-0.337372,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,C,0.10,0.240000,0.303333,0.351111,0.047778,0.063333,0.705556,0.163604,-0.182333,0.303333,0.303333,0.303333,level1,0.303333,0.000000,0.705556,0.705556,0.705556,-0.117636,-0.010740,-0.224235,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,A,0.12,0.220000,0.283333,0.315444,0.032111,0.063333,0.588889,0.165000,-0.074422,0.283333,0.283333,0.283333,level1,0.283333,0.000000,0.588889,0.588889,0.588889,-0.317136,-0.317136,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,B,0.12,0.230000,0.290000,0.318667,0.028667,0.060000,0.600000,0.150000,-0.067500,0.290000,0.290000,0.290000,level1,0.290000,0.000000,0.600000,0.600000,0.600000,-0.337372,-0.337372,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,C,0.12,0.240000,0.283333,0.337000,0.053667,0.043333,0.705556,0.143604,-0.202333,0.283333,0.282000,0.283333,level1,0.283333,0.000000,0.705556,0.688889,0.705556,-0.117636,-0.010740,-0.224235,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,A,0.15,0.220000,0.253333,0.297778,0.044444,0.033333,0.588889,0.135000,-0.104422,0.253333,0.253333,0.253333,level1,0.253333,0.000000,0.588889,0.588889,0.588889,-0.317136,-0.317136,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,B,0.15,0.230000,0.260000,0.300667,0.040667,0.030000,0.600000,0.120000,-0.097500,0.260000,0.260000,0.260000,level1,0.260000,0.000000,0.600000,0.600000,0.600000,-0.337372,-0.337372,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,C,0.15,0.240000,0.253333,0.315833,0.062500,0.013333,0.705556,0.113604,-0.232333,0.250833,0.249167,0.253333,level3,0.253333,0.000000,0.655556,0.622222,0.705556,-0.117636,-0.010740,-0.224235,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,A,0.03,0.153333,0.303333,0.366389,0.063056,0.150000,0.805556,0.264583,-0.325000,0.303333,0.303333,0.303333,level1,0.303333,0.000000,0.805556,0.805556,0.805556,-0.302837,-0.302837,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,B,0.03,0.150000,0.300000,0.364000,0.064000,0.150000,0.800000,0.267500,-0.320000,0.300000,0.300000,0.300000,level1,0.300000,0.000000,0.800000,0.800000,0.800000,-0.300257,-0.300257,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,C,0.03,0.210000,0.303333,0.366111,0.062778,0.093333,0.722222,0.216735,-0.231944,0.303333,0.303333,0.303333,level1,0.303333,0.000000,0.722222,0.722222,0.722222,0.084206,0.076264,-0.051681,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,A,0.05,0.153333,0.283333,0.350278,0.066944,0.130000,0.805556,0.244583,-0.345000,0.283333,0.283333,0.283333,level1,0.283333,0.000000,0.805556,0.805556,0.805556,-0.302837,-0.302837,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,B,0.05,0.150000,0.280000,0.348000,0.068000,0.130000,0.800000,0.247500,-0.340000,0.280000,0.280000,0.280000,level1,0.280000,0.000000,0.800000,0.800000,0.800000,-0.300257,-0.300257,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,C,0.05,0.210000,0.283333,0.351667,0.068333,0.073333,0.722222,0.196735,-0.251944,0.283333,0.283333,0.283333,level1,0.283333,0.000000,0.722222,0.722222,0.722222,0.084206,0.076264,-0.051681,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,A,0.07,0.153333,0.263333,0.334167,0.070833,0.110000,0.805556,0.224583,-0.365000,0.263333,0.263333,0.263333,level1,0.263333,0.000000,0.805556,0.805556,0.805556,-0.302837,-0.302837,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
